Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
4.58,2.058,0.054,2.058,0.054,0.643,146.61870901039143,178.4923414039548,285.2074882655916,174.95765526773033,219.7386347369604,117.34463577511072,270.5760832775225,2.6296309663893145,303.0
4.59,2.092,0.058,2.092,0.058,0.703,148.21172786984064,180.43166871111035,287.5468270857773,177.57213584795144,227.0154898075868,118.39330793213028,273.285230026092,2.636307191818641,303.0
4.6,2.109,0.06,2.109,0.06,0.719,148.9931592771862,181.38297651135716,288.6000653869315,178.81732585633063,230.5780388274096,118.93730168182408,274.65993697430173,2.6404467261649622,303.0
4.61,2.16,0.062,2.16,0.062,0.726,150.1463858565224,182.7869045209838,291.20875880331164,180.30018247836935,233.71061194926935,119.74476352228146,276.0336110886702,2.635698785460933,303.0
4.62,2.228,0.064,2.228,0.064,0.771,151.56543483320175,184.5144424056369,294.9501273669297,181.9500852439796,236.51026483487905,120.6704735118324,277.3908582166699,2.624623057791872,303.0
4.63,2.253,0.067,2.253,0.067,0.74,152.50963192845484,185.6638997389885,295.90048401988844,183.61287150291923,241.7438348915992,121.39789568915376,279.22345932651933,2.632800740324865,303.0
4.64,2.33,0.069,2.33,0.069,0.815,154.05241878176662,187.5420750386724,300.24552470652554,185.3132898322799,244.2512693850268,122.35833221184996,280.5159887770127,2.618248274554732,303.0
4.65,2.355,0.072,2.355,0.072,0.813,155.026659963081,188.72810778114209,301.43808733624263,186.9468887161803,249.2403533013613,123.05380078202232,282.24828372031766,2.624452747613651,303.0
4.66,2.372,0.073,2.372,0.073,0.862,155.5704786899049,189.390147970319,302.72422487426576,187.72769169185707,250.8315889207745,123.39609603104684,282.92362428798435,2.6217284446351825,303.0
4.67,2.381,0.075,2.381,0.075,0.887,156.20514978659534,190.1627910445509,303.4238188415817,188.764969500306,254.09165898196704,123.81445593116754,284.0814722056656,2.62644168484509,303.0
4.68,2.406,0.075,2.406,0.075,0.876,156.53455375766376,190.5638045745472,304.51841771274434,188.93325415377035,253.77191380584316,124.07458313678484,284.25722242973654,2.6216561164966783,303.0
4.69,2.449,0.074,2.449,0.074,0.807,156.7295832133936,190.8012317380444,305.8944243089346,188.6830259968869,251.65763319862987,124.32672425978792,283.952126339667,2.6117204339965108,303.0
4.7,2.449,0.068,2.449,0.068,0.75,155.42744683989812,189.216022239876,305.4478264138335,185.7137418248317,241.19375749326863,123.53034442929652,280.9992683587595,2.5920972624989065,303.0
4.71,2.449,0.068,2.449,0.068,0.734,155.4715435069161,189.2697051388544,305.36835617538594,185.6885099254573,241.17660730981103,123.60335526072896,281.1504096112979,2.5935379906353986,303.0
4.72,2.44,0.065,2.44,0.065,0.779,154.8849245562338,188.55556032932813,305.4324805712317,184.18529012030365,235.74874884250832,123.14864628983229,279.6485051342779,2.582065176955373,303.0
4.73,2.474,0.064,2.474,0.064,0.848,155.23427337391905,188.98085454216235,307.6333247441436,184.0250272931204,233.41769750399212,123.3081307051726,279.26350106921507,2.567337052270368,303.0
4.74,2.593,0.064,2.593,0.064,0.946,156.7062895190347,190.7728741970857,313.7630199568622,185.01200608683465,232.0561616749084,124.21804854977913,279.5099104669659,2.536533297109068,303.0
4.75,2.644,0.062,2.644,0.062,1.033,156.96441255873697,191.0871109410711,316.75368712503086,184.4432658121748,227.80068310064485,124.31192899873632,278.54726144005275,2.5138039570693524,303.0
4.76,2.763,0.064,2.763,0.064,1.122,158.7948655178545,193.31548845651847,322.5436605930183,186.4014231708088,230.1671188804961,125.50595744097704,279.9393369459968,2.4940858239215817,303.0
4.77,2.856,0.065,2.856,0.065,1.221,160.11812680526202,194.92641524118855,327.2107337905153,187.6470148385069,230.9585158115288,126.34175991407476,280.7218726810061,2.476097415242419,303.0
4.78,3.094,0.068,3.094,0.068,1.235,162.9438280283774,198.3663993388942,336.76544884653816,190.6525442006882,234.21096694915167,128.36066032584216,282.6903751601939,2.4428909974981767,303.0
4.79,3.383,0.069,3.383,0.069,1.3,165.5981890356937,201.59779534780105,348.1560701390733,192.8942447293587,233.65996703836777,130.25519636787882,283.5644981409136,2.3944066148447547,303.0
4.8,3.459,0.07,3.459,0.07,1.317,166.50207776807662,202.698181630702,351.10792798482385,193.83470330043983,234.7486197680414,130.90459918110884,284.29208447413464,2.385675227523423,303.0
4.81,3.629,0.069,3.629,0.069,1.342,167.5614156475752,203.98781035356976,357.39770347632685,194.2815113295931,231.8966796232143,131.73098893746555,284.01106808104646,2.354328717706786,303.0
4.82,3.688,0.069,3.688,0.069,1.394,168.1106567333523,204.65645167538543,359.88952437037693,194.652436037571,231.42843672117772,132.11352048790192,284.1942525355654,2.3441363270481217,303.0
4.83,3.688,0.07,3.688,0.07,1.411,168.46688549966865,205.0901214778575,360.0812017220658,195.17820587400644,233.02818380197485,132.347625561193,284.8756816986203,2.348049984328348,303.0
