Depth,qc,fs_corrected,u
7.74,1.268,0.019,-0.034
7.75,1.225,0.019,-0.034
7.76,1.149,0.018,-0.033
7.77,1.089,0.017,-0.033
7.78,1.047,0.016,-0.033
7.79,1.004,0.016,-0.033
7.8,0.996,0.017,-0.032
7.81,1.004,0.018,-0.032
7.82,1.013,0.019,-0.032
7.83,1.03,0.019,-0.032
7.84,1.03,0.02,-0.031
7.85,1.03,0.02,-0.031
7.86,1.021,0.021,-0.031
7.87,1.021,0.021,-0.031
7.88,1.03,0.022,-0.031
7.89,1.038,0.022,-0.03
7.9,1.047,0.021,-0.03
7.91,1.055,0.022,-0.03
7.92,1.064,0.021,-0.03
7.93,1.072,0.021,-0.03
7.94,1.072,0.022,-0.029
7.95,1.098,0.022,-0.029
7.96,1.115,0.022,-0.029
7.97,1.132,0.023,-0.029
7.98,1.14,0.023,-0.028
7.99,1.14,0.023,-0.028
8.0,1.149,0.025,-0.028
8.01,1.157,0.025,-0.028
8.02,1.166,0.025,-0.028
8.03,1.174,0.026,-0.028
8.04,1.191,0.026,-0.028
8.05,1.191,0.026,-0.028
8.06,1.225,0.026,-0.028
8.07,1.259,0.027,-0.027
8.08,1.293,0.028,-0.027
8.09,1.31,0.028,-0.026
8.1,1.336,0.028,-0.026
8.11,1.353,0.028,-0.026
8.12,1.361,0.028,-0.026
8.13,1.378,0.028,-0.026
8.14,1.378,0.029,-0.026
8.15,1.37,0.028,-0.025
8.16,1.37,0.028,-0.025
8.17,1.361,0.028,-0.025
8.18,1.353,0.029,-0.025
8.19,1.344,0.029,-0.025
8.2,1.344,0.029,-0.024
8.21,1.344,0.028,-0.024
8.22,1.336,0.028,-0.024
8.23,1.336,0.028,-0.024
8.24,1.336,0.027,-0.024
8.25,1.336,0.027,-0.023
8.26,1.327,0.027,-0.023
8.27,1.336,0.026,-0.023
8.28,1.336,0.026,-0.023
8.29,1.336,0.025,-0.023
8.3,1.327,0.025,-0.023
8.31,1.319,0.024,-0.023
8.32,1.31,0.024,-0.023
8.33,1.31,0.024,-0.023
8.34,1.302,0.024,-0.023
8.35,1.293,0.022,-0.023
8.36,1.285,0.022,-0.022
8.37,1.276,0.022,-0.022
8.38,1.276,0.022,-0.022
8.39,1.276,0.022,-0.022
8.4,1.268,0.021,-0.022
8.41,1.259,0.021,-0.022
8.42,1.242,0.021,-0.021
8.43,1.234,0.02,-0.021
8.44,1.225,0.021,-0.021
8.45,1.225,0.021,-0.021
8.46,1.217,0.021,-0.021
8.47,1.217,0.021,-0.021
8.48,1.217,0.021,-0.021
8.49,1.225,0.021,-0.02
8.5,1.225,0.0227,-0.02
8.51,1.234,0.0243,-0.02
8.52,1.242,0.026,-0.02
8.53,1.251,0.025,-0.02
8.54,1.251,0.025,-0.019
8.55,1.251,0.026,-0.019
8.56,1.251,0.026,-0.019
