File Name,File Key,d,End Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
SDMT,141748,13.5,14,172,8,1,1.109895163,0.024932373,150.0926558,182.721494,252.7577213,141.008147,160.6330444,136.668173,321.6760115,3.014408474
SDMT,141748,14,14.5,166,8,1,0.985253204,0.018940033,145.9423334,177.6689276,243.3389095,133.0063037,144.448066,132.6243538,312.9265891,3.049161984
SDMT,141748,14.5,15,162,8,1,1.087116014,0.02155232,151.0608082,183.9001143,253.6010467,137.3860465,150.6996738,137.2773923,321.2508504,3.019258165
SDMT,141748,15,15.5,187,8,1,1.31304042,0.016259093,154.1989423,187.7204515,274.2407463,136.2544256,133.4728275,139.0832654,312.7547042,2.823710237
SDMT,141748,15.5,16,202,8,1,5.971224865,0.058339115,213.329697,259.7057181,475.4574336,201.7004662,205.8024217,194.0645513,376.4869116,2.158257734
SDMT,141748,16,16.5,256,8,1,5.339510629,0.081119358,218.5057735,266.0070286,455.1696843,209.3442273,241.640837,197.9751512,395.7648359,2.326322205
SDMT,141748,16.5,17,265,8,1,6.831306317,0.0622888,220.8040998,268.8049911,501.280774,208.4109165,211.6959806,202.375521,386.0532754,2.107778827
SDMT,141748,17,17.5,294,8,1,3.362187753,0.10332051,213.4621792,259.8670008,384.6750039,202.6800221,273.4459557,192.1396565,413.2120235,2.74025985
SDMT,141748,17.5,18,254,8,1,6.097654729,0.103402711,234.1522567,285.0549212,482.5112675,221.3302765,264.5880899,211.0214276,418.0918541,2.344065004
SCPT,57343,0,0.5,72,2,1,4.721934496,0.039623045,103.8868171,126.4709078,285.0787669,95.31424976,95.96309467,56.371094,123.1959192,1.935061533
SCPT,57343,0.5,1,72,2,1,9.515681225,0.071931966,138.040472,168.0492703,416.7673012,152.7138918,160.4953231,89.7652789,178.2188391,1.672588652
SCPT,57343,1,1.5,83,2,1,13.17572544,0.086766587,154.3765356,187.9366521,497.2865746,188.0366185,196.7792187,110.6861059,209.2739695,1.528353232
